Method,Xsize,Ysize,Px,Py,Iterations,ComputationTime,TotalTime,midpoint 

Jacobi_conv,1024,1024,8,8,5801,0.291833,1.732106,0.005969
Jacobi_conv,1024,1024,4,16,9101,0.464307,3.593078,0.014293
Jacobi_conv,1024,1024,2,32,24401,1.370760,14.453460,0.045122
Jacobi_NO_conv,2048,2048,1,1,256,8.619069,8.619372,0.000000
Jacobi_NO_conv,2048,2048,1,2,256,4.336703,4.414571,0.189836
Jacobi_NO_conv,2048,2048,2,2,256,2.160591,2.381906,0.195487
Jacobi_NO_conv,2048,2048,2,4,256,1.060404,1.391534,0.186632
Jacobi_NO_conv,2048,2048,4,4,256,0.860671,1.162225,0.098083
Jacobi_NO_conv,2048,2048,4,8,256,0.307752,0.645700,0.093655
Jacobi_NO_conv,2048,2048,8,8,256,0.052408,0.426189,0.049381
Jacobi_NO_conv,4096,4096,1,1,256,34.634148,34.634547,0.000000
Jacobi_NO_conv,4096,4096,1,2,256,17.379622,17.525269,0.379294
Jacobi_NO_conv,4096,4096,2,2,256,8.733757,9.404010,0.390296
Jacobi_NO_conv,4096,4096,2,4,256,4.345727,5.311082,0.372586
Jacobi_NO_conv,4096,4096,4,4,256,3.746214,4.816226,0.195487
Jacobi_NO_conv,4096,4096,4,8,256,3.626970,4.780785,0.186632
Jacobi_NO_conv,4096,4096,8,8,256,3.196959,4.528502,0.098083
Jacobi_NO_conv,6144,6144,1,1,256,77.482009,77.482442,0.000000
Jacobi_NO_conv,6144,6144,1,2,256,38.850249,39.085728,0.568751
Jacobi_NO_conv,6144,6144,2,2,256,19.420356,20.860653,0.585105
Jacobi_NO_conv,6144,6144,2,4,256,9.782312,11.843624,0.558540
Jacobi_NO_conv,6144,6144,4,4,256,8.393862,10.675966,0.292892
Jacobi_NO_conv,6144,6144,4,8,256,8.329989,10.766621,0.279609
Jacobi_NO_conv,6144,6144,8,8,256,7.859143,10.697708,0.146785
Gauss-Seidel_conv,1024,1024,8,8,3401,0.640368,2.337304,0.008649
Gauss-Seidel_conv,1024,1024,4,16,6801,1.199403,6.932819,0.017007
Gauss-Seidel_conv,1024,1024,2,32,21301,3.574766,25.660920,0.047624
Gauss-Seidel_conv,2048,2048,1,1,256,12.129215,12.129558,0.000000 
Gauss-Seidel_NO_conv,2048,2048,1,2,256,15.826411,26.394675,0.140482
Gauss-Seidel_NO_conv,2048,2048,2,2,256,7.564776,20.881430,0.208728
Gauss-Seidel_NO_conv,2048,2048,2,4,256,4.019996,19.584481,0.199260
Gauss-Seidel_NO_conv,2048,2048,4,4,256,0.925272,11.047521,0.104620
Gauss-Seidel_NO_conv,2048,2048,4,8,256,0.389040,6.768828,0.099886
Gauss-Seidel_NO_conv,2048,2048,8,8,256,0.189274,13.409247,0.052566
Gauss-Seidel_NO_conv,4096,4096,1,1,256,48.547022,48.547500,0.000000
Gauss-Seidel_NO_conv,4096,4096,1,2,256,48.279787,99.044100,0.280721
Gauss-Seidel_NO_conv,4096,4096,2,2,256,27.048080,70.661682,0.416944
Gauss-Seidel_NO_conv,4096,4096,2,4,256,17.400909,65.369480,0.398008
Gauss-Seidel_NO_conv,4096,4096,4,4,256,8.689809,41.580093,0.208728
Gauss-Seidel_NO_conv,4096,4096,4,8,256,3.688382,13.506408,0.199260
Gauss-Seidel_NO_conv,4096,4096,8,8,256,0.910992,19.706085,0.104620
Gauss-Seidel_NO_conv,6144,6144,1,1,256,109.255749,109.256253,0.000000
Gauss-Seidel_NO_conv,6144,6144,1,2,256,90.739795,182.518979,0.420959
Gauss-Seidel_NO_conv,6144,6144,2,2,256,55.621499,145.182612,0.625159
Gauss-Seidel_NO_conv,6144,6144,2,4,256,37.467290,115.350219,0.596755
Gauss-Seidel_NO_conv,6144,6144,4,4,256,16.097872,34.125009,0.312836
Gauss-Seidel_NO_conv,6144,6144,4,8,256,7.801941,18.656742,0.298634
Gauss-Seidel_NO_conv,6144,6144,8,8,256,4.729451,11.790431,0.156674
Red-Black-SOR_conv,1024,1024,8,8,2701,0.363700,1.610495,0.006062
Red-Black-SOR_conv,1024,1024,4,16,5401,0.694617,4.269274,0.013986
Red-Black-SOR_conv,1024,1024,2,32,21401,2.703132,25.015880,0.043930
Red-Black-SOR_NO_conv,2048,2048,1,1,256,21.243059,21.243876,0.000000
Red-Black-SOR_NO_conv,2048,2048,1,2,256,10.623617,10.901287,0.134405
Red-Black-SOR_NO_conv,2048,2048,2,2,256,5.315858,5.680422,0.139186
Red-Black-SOR_NO_conv,2048,2048,2,4,256,2.653560,3.116011,0.132881
Red-Black-SOR_NO_conv,2048,2048,4,4,256,1.626551,1.983228,0.069833
Red-Black-SOR_NO_conv,2048,2048,4,8,256,0.553827,0.994784,0.066681
Red-Black-SOR_NO_conv,2048,2048,8,8,256,0.137479,0.594740,0.035157
Red-Black-SOR_NO_conv,4096,4096,1,1,256,85.202279,85.203282,0.000000
Red-Black-SOR_NO_conv,4096,4096,1,2,256,42.558333,43.010893,0.268541
Red-Black-SOR_NO_conv,4096,4096,2,2,256,21.307629,22.176921,0.277892
Red-Black-SOR_NO_conv,4096,4096,2,4,256,10.638248,11.858385,0.265283
Red-Black-SOR_NO_conv,4096,4096,4,4,256,7.590803,8.722995,0.139186
Red-Black-SOR_NO_conv,4096,4096,4,8,256,7.218696,8.500023,0.132881
Red-Black-SOR_NO_conv,4096,4096,8,8,256,6.258058,7.721514,0.069833
Red-Black-SOR_NO_conv,6144,6144,1,1,256,191.720736,191.721821,0.000000
Red-Black-SOR_NO_conv,6144,6144,1,2,256,95.779717,96.424149,0.402678
Red-Black-SOR_NO_conv,6144,6144,2,2,256,47.859090,49.557484,0.416598
Red-Black-SOR_NO_conv,6144,6144,2,4,256,23.946313,26.352578,0.397684
Red-Black-SOR_NO_conv,6144,6144,4,4,256,16.828386,19.237443,0.208539
Red-Black-SOR_NO_conv,6144,6144,4,8,256,16.688202,19.302792,0.199082
Red-Black-SOR_NO_conv,6144,6144,8,8,256,15.839674,19.115676,0.104510
